SalePrice,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,TotalArea,AreaPerRoom,GarageCars
208500,7,2003,856,1710,2566,213.75,2
181500,6,1976,1262,1262,2524,210.33333333333334,2
223500,7,2001,920,1786,2706,297.6666666666667,2
140000,7,1915,756,1717,2473,245.28571428571428,3
250000,8,2000,1145,2198,3343,244.22222222222223,3
143000,5,1993,796,1362,2158,272.4,2
307000,8,2004,1686,1694,3380,242.0,2
200000,7,1973,1107,2090,3197,298.57142857142856,2
129900,7,1931,952,1774,2726,221.75,2
118000,5,1939,991,1077,2068,215.4,1
129500,5,1965,1040,1040,2080,208.0,1
345000,9,2005,1175,2324,3499,211.27272727272728,3
144000,5,1962,912,912,1824,228.0,1
279500,7,2006,1494,1494,2988,213.42857142857142,3
157000,6,1960,1253,1253,2506,250.6,1
132000,7,1929,832,854,1686,170.8,2
149000,6,1970,1004,1004,2008,200.8,2
90000,4,1967,0,1296,1296,216.0,2
159000,5,2004,1114,1114,2228,185.66666666666666,2
139000,5,1958,1029,1339,2368,223.16666666666666,1
325300,8,2005,1158,2376,3534,264.0,3
139400,7,1930,637,1108,1745,184.66666666666666,1
230000,8,2002,1777,1795,3572,256.42857142857144,2
129900,5,1976,1040,1060,2100,176.66666666666666,2
154000,5,1968,1060,1060,2120,176.66666666666666,1
256300,8,2007,1566,1600,3166,228.57142857142858,3
134800,5,1951,900,900,1800,180.0,2
306000,8,2007,1704,1704,3408,243.42857142857142,3
207500,5,1957,1484,1600,3084,266.6666666666667,1
68500,4,1927,520,520,1040,130.0,1
40000,4,1920,649,1317,1966,219.5,1
149350,5,1966,1228,1228,2456,204.66666666666666,1
179900,8,2007,1234,1234,2468,176.28571428571428,2
165500,5,1959,1398,1700,3098,283.3333333333333,2
277500,9,2005,1561,1561,3122,260.1666666666667,2
309000,8,2004,1117,2452,3569,272.44444444444446,3
145000,5,1994,1097,1097,2194,182.83333333333334,2
153000,5,1954,1297,1297,2594,259.4,2
109000,5,1953,1057,1057,2114,211.4,1
82000,4,1955,0,1152,1152,192.0,0
160000,6,1965,1088,1324,2412,220.66666666666666,2
170000,5,1959,1350,1328,2678,265.6,1
144000,5,1983,840,884,1724,176.8,2
130250,5,1975,938,938,1876,187.6,1
141000,5,1959,1150,1150,2300,191.66666666666666,1
319900,9,2005,1752,1752,3504,292.0,2
239686,7,2003,1434,2149,3583,358.1666666666667,2
249700,8,2006,1656,1656,3312,236.57142857142858,3
113000,4,1920,736,1452,2188,181.5,0
127000,5,1966,955,955,1910,159.16666666666666,1
177000,6,1997,794,1470,2264,245.0,2
114500,6,1934,816,1176,1992,196.0,2
110000,5,1963,816,816,1632,163.2,2
385000,9,1981,1842,1842,3684,368.4,3
130000,5,1955,384,1360,1744,226.66666666666666,2
180500,6,1964,1425,1425,2850,203.57142857142858,2
172500,8,1999,970,1739,2709,248.42857142857142,2
196500,7,2004,860,1720,2580,245.71428571428572,2
438780,10,2006,1410,2945,4355,294.5,3
124900,5,1972,780,780,1560,195.0,1
158000,6,2004,1158,1158,2316,231.6,2
101000,5,1920,530,1111,1641,185.16666666666666,1
202500,8,2006,1370,1370,2740,228.33333333333334,2
140000,7,1921,576,1710,2286,190.0,2
219500,7,1997,1057,2034,3091,254.25,2
317000,8,2004,1143,2473,3616,274.77777777777777,3
180000,7,1970,1947,2207,4154,315.2857142857143,2
226000,7,2003,1453,1479,2932,211.28571428571428,2
80000,4,1945,747,747,1494,186.75,1
225000,7,1953,1304,2287,3591,326.7142857142857,2
244000,7,1973,2223,2223,4446,277.875,2
129500,4,1982,845,845,1690,211.25,2
185000,7,1998,832,1718,2550,245.42857142857142,2
144900,5,1954,1086,1086,2172,181.0,2
107400,3,1915,840,1605,2445,200.625,1
91000,4,1973,462,988,1450,197.6,1
135750,4,1956,952,952,1904,238.0,1
127000,5,1948,672,1285,1957,214.16666666666666,1
136500,4,1968,1768,1768,3536,221.0,0
110000,5,1910,440,1230,1670,246.0,2
193500,6,1968,896,2142,3038,267.75,1
153500,6,1998,1237,1337,2574,267.4,2
245000,8,2007,1563,1563,3126,260.5,3
126500,5,1960,1065,1065,2130,177.5,2
168500,7,1995,384,1474,1858,210.57142857142858,2
260000,8,1991,1288,2417,3705,268.55555555555554,2
174000,6,2005,684,1560,2244,260.0,2
164500,6,2009,612,1224,1836,306.0,2
85000,3,1915,1013,1526,2539,254.33333333333334,0
123600,4,1994,990,990,1980,198.0,0
109900,4,1950,0,1040,1040,260.0,2
98600,5,1961,1235,1235,2470,205.83333333333334,2
163500,5,1921,876,964,1840,192.8,2
133900,6,1910,1214,2291,3505,254.55555555555554,2
204750,6,1997,824,1786,2610,255.14285714285714,2
185000,6,1993,680,1470,2150,245.0,2
214000,7,1999,1588,1588,3176,264.6666666666667,2
94750,4,1965,960,960,1920,160.0,1
83000,5,1920,458,835,1293,167.0,1
128950,4,1959,950,1225,2175,204.16666666666666,0
205000,6,1977,1610,1610,3220,268.3333333333333,2
178000,6,1985,741,1732,2473,247.42857142857142,2
118964,5,1979,0,1535,1535,191.875,2
198900,7,2009,1226,1226,2452,204.33333333333334,3
169500,7,1931,1040,1818,2858,259.7142857142857,1
250000,8,2003,1053,1992,3045,221.33333333333334,2
100000,4,1885,641,1047,1688,174.5,1
115000,5,1948,789,789,1578,157.8,1
115000,5,1919,793,1517,2310,216.71428571428572,0
190000,6,1977,1844,1844,3688,263.42857142857144,2
136900,6,1954,994,1855,2849,265.0,1
180000,7,2000,384,1430,1814,204.28571428571428,2
383970,7,2007,1264,2696,3960,269.6,3
217000,6,1953,1809,2259,4068,322.7142857142857,2
259500,6,1945,1028,2320,3348,257.77777777777777,1
176000,6,1999,729,1458,2187,291.6,2
139000,5,1962,1092,1092,2184,182.0,1
155000,5,2006,1125,1125,2250,225.0,2
320000,7,1990,1673,3222,4895,292.90909090909093,3
163990,6,2005,728,1456,2184,182.0,2
180000,6,1969,938,988,1926,247.0,2
100000,4,1939,732,1123,1855,280.75,1
136000,6,1958,1080,1080,2160,216.0,1
153900,6,1993,1199,1199,2398,239.8,2
181000,6,1979,1362,1586,2948,226.57142857142858,2
84500,6,1935,520,754,1274,150.8,0
128000,6,1976,1078,958,2036,191.6,2
87000,5,1930,672,840,1512,168.0,0
155000,6,1966,660,1348,2008,224.66666666666666,2
150000,5,1958,1008,1053,2061,175.5,2
226000,7,1966,924,2157,3081,269.625,2
244000,6,2000,992,2054,3046,293.42857142857144,2
150750,5,1959,1063,1327,2390,189.57142857142858,2
220000,8,2001,1267,1296,2563,216.0,2
180000,5,1968,1461,1721,3182,245.85714285714286,2
174000,7,1970,1304,1682,2986,240.28571428571428,2
143000,5,1967,1214,1214,2428,242.8,1
171000,7,1988,1907,1959,3866,217.66666666666666,3
230000,8,1999,1004,1852,2856,264.57142857142856,3
231500,6,1997,928,1764,2692,252.0,2
115000,4,1971,864,864,1728,172.8,0
260000,7,2005,1734,1734,3468,247.71428571428572,2
166000,5,1952,910,1385,2295,230.83333333333334,2
204000,7,1999,1490,1501,2991,250.16666666666666,2
125000,5,1963,1728,1728,3456,172.8,2
130000,6,2004,970,1709,2679,244.14285714285714,2
105000,5,1931,715,875,1590,175.0,1
222500,7,2001,884,2035,2919,254.375,2
141000,7,2004,1080,1080,2160,180.0,0
115000,5,1936,896,1344,2240,192.0,1
122000,5,1975,969,969,1938,193.8,2
372402,8,2007,1710,1710,3420,285.0,3
190000,6,1971,825,1993,2818,249.125,2
235000,6,1960,1602,1252,2854,313.0,2
125000,6,1923,1200,1200,2400,171.42857142857142,1
79000,6,1924,572,1096,1668,219.2,0
109500,5,1950,0,1040,1040,208.0,2
269500,8,2009,774,1968,2742,246.0,3
254900,7,2004,991,1947,2938,243.375,2
320000,7,2005,1392,2462,3854,273.55555555555554,2
162500,6,1984,1232,1232,2464,205.33333333333334,2
412500,9,2003,1572,2668,4240,266.8,3
220000,7,2005,1541,1541,3082,220.14285714285714,2
103200,4,1956,882,882,1764,220.5,0
152000,6,1926,1149,1616,2765,323.2,1
127500,5,1940,644,1355,1999,225.83333333333334,0
190000,5,1955,1617,1867,3484,266.7142857142857,1
325624,8,2007,1582,2161,3743,270.125,3
183500,7,2004,840,1720,2560,245.71428571428572,2
228000,8,1981,1686,1707,3393,284.5,2
128500,5,1941,720,1382,2102,197.42857142857142,2
215000,6,1960,1080,1656,2736,236.57142857142858,2
239000,7,1987,1064,1767,2831,353.4,2
163000,6,1961,1362,1362,2724,227.0,2
184000,6,1986,1606,1651,3257,235.85714285714286,2
243000,6,1950,1202,2158,3360,308.2857142857143,2
211000,6,1988,1151,2060,3211,257.5,2
172500,5,1958,1052,1920,2972,240.0,2
501837,9,2008,2216,2234,4450,248.22222222222223,3
100000,5,1923,968,968,1936,193.6,2
177000,6,2000,756,1525,2281,305.0,2
200100,7,1920,793,1802,2595,200.22222222222223,1
120000,5,1957,0,1340,1340,191.42857142857142,1
200000,7,2003,1362,2082,3444,347.0,2
127000,5,1908,504,1252,1756,250.4,2
475000,10,1892,1107,3608,4715,300.6666666666667,3
173000,7,1990,1188,1217,2405,202.83333333333334,2
135000,5,1916,660,1656,2316,207.0,1
153337,5,1979,1086,1224,2310,204.0,2
286000,8,2001,1593,1593,3186,318.6,2
315000,8,1932,853,2727,3580,272.7,2
184000,7,1972,725,1479,2204,211.28571428571428,2
192000,7,1999,1431,1431,2862,238.5,2
130000,7,2004,970,1709,2679,244.14285714285714,2
127000,5,1972,864,864,1728,172.8,1
148500,6,1976,855,1456,2311,208.0,2
311872,7,2007,1726,1726,3452,215.75,3
235000,8,1918,1360,3112,4472,389.0,2
104000,6,1912,755,2229,2984,278.625,0
274900,8,2004,1713,1713,3426,244.71428571428572,3
140000,4,2003,1121,1121,2242,224.2,2
171500,6,1977,1196,1279,2475,213.16666666666666,2
112000,6,1924,617,1310,1927,218.33333333333334,1
149000,6,2004,848,848,1696,282.6666666666667,2
110000,5,1947,720,1284,2004,256.8,1
180500,7,1990,1424,1442,2866,288.4,2
143900,5,1962,1140,1696,2836,212.0,1
141000,4,1960,1100,1100,2200,183.33333333333334,1
277000,7,1988,1157,2062,3219,294.57142857142856,2
145000,6,1964,1092,1092,2184,182.0,2
98000,5,1925,864,864,1728,172.8,0
186000,6,2009,1212,1212,2424,202.0,2
252678,7,2009,900,1852,2752,264.57142857142856,2
156000,5,1995,990,990,1980,198.0,2
161750,6,1977,689,1392,2081,232.0,1
134450,5,1957,1070,1236,2306,206.0,1
210000,7,2004,1436,1436,2872,179.5,2
107000,4,1925,686,1328,2014,166.0,1
311500,7,1939,798,1954,2752,244.25,2
167240,7,2005,1248,1248,2496,249.6,2
204900,7,2006,1498,1498,2996,299.6,2
200000,6,2002,1010,2267,3277,283.375,2
179900,6,1975,713,1552,2265,258.6666666666667,2
97000,4,1971,864,864,1728,216.0,2
386250,10,2003,2392,2392,4784,299.0,3
112000,5,1971,630,1302,1932,217.0,1
290000,7,1995,1203,2520,3723,280.0,3
106000,6,1970,483,987,1470,197.4,1
125000,5,1967,912,912,1824,182.4,1
192500,7,2005,1373,1555,2928,222.14285714285714,2
148000,6,1959,1194,1194,2388,199.0,1
403000,8,1995,1462,2794,4256,310.44444444444446,3
94500,6,1972,483,987,1470,197.4,1
128200,5,1976,894,894,1788,178.8,1
216500,6,2002,860,1960,2820,245.0,2
89500,6,1971,483,987,1470,197.4,1
185500,7,2004,1414,1414,2828,235.66666666666666,2
194500,7,1993,996,1744,2740,249.14285714285714,2
318000,8,2007,1694,1694,3388,242.0,3
113000,6,1945,735,1487,2222,212.42857142857142,1
262500,8,2008,1566,1566,3132,223.71428571428572,2
110500,5,1945,686,866,1552,216.5,0
79000,5,1900,540,1440,1980,240.0,1
120000,6,1980,626,1217,1843,202.83333333333334,1
205000,7,1994,948,2110,3058,263.75,2
241500,7,1988,1845,1872,3717,312.0,2
137000,6,1910,1020,1928,2948,214.22222222222223,1
140000,6,1954,1367,1375,2742,275.0,2
180000,7,2003,840,1668,2508,208.5,2
277000,6,1958,1444,2144,3588,306.2857142857143,2
76500,3,1940,728,1306,2034,217.66666666666666,0
235000,8,2006,1573,1625,3198,325.0,2
173000,6,2004,798,1640,2438,273.3333333333333,2
158000,6,1964,1302,1302,2604,186.0,1
145000,5,1957,1314,1314,2628,262.8,1
230000,7,1999,975,2291,3266,286.375,2
207500,6,2003,864,1728,2592,246.85714285714286,2
220000,7,2006,1604,1604,3208,200.5,2
231500,7,2001,963,1792,2755,256.0,2
97000,5,1956,0,882,882,220.5,1
176000,6,1962,1362,1382,2744,230.33333333333334,2
276000,8,2007,1482,2574,4056,257.4,3
151000,6,1977,506,1212,1718,202.0,2
130000,5,1929,926,1316,2242,219.33333333333334,2
73000,5,1925,680,764,1444,191.0,2
175500,6,1981,1422,1422,2844,203.14285714285714,2
185000,6,1997,802,1511,2313,188.875,2
179500,5,1939,720,2192,2912,274.0,1
120500,5,1940,740,778,1518,194.5,1
148000,6,1976,1143,1113,2256,185.5,1
266000,8,2006,1095,1939,3034,242.375,3
241500,7,1954,1385,1363,2748,272.6,2
290000,8,1999,1152,2270,3422,252.22222222222223,3
139000,6,1958,1240,1632,2872,272.0,1
124500,5,1982,816,816,1632,163.2,1
205000,7,1925,952,1548,2500,309.6,2
201000,7,2003,1560,1560,3120,222.85714285714286,2
141000,4,1951,864,864,1728,216.0,2
415298,9,2006,2121,2121,4242,265.125,3
192000,7,1977,1160,2022,3182,252.75,2
228500,7,1989,807,1982,2789,283.14285714285717,2
185000,6,2006,1262,1262,2524,252.4,2
207500,7,2007,1314,1314,2628,219.0,2
244600,8,2008,1468,1468,2936,244.66666666666666,3
179200,6,1992,1575,1575,3150,315.0,2
164700,7,2006,625,1250,1875,250.0,2
159000,6,1962,912,1734,2646,247.71428571428572,2
88000,4,1971,858,858,1716,171.6,0
122000,5,1967,882,900,1782,180.0,1
153575,6,1915,698,1396,2094,199.42857142857142,1
233230,8,2006,1079,1919,2998,239.875,2
135900,5,1912,780,1716,2496,190.66666666666666,0
131000,5,1949,768,1716,2484,214.5,1
235000,7,1977,795,2263,3058,251.44444444444446,2
167000,6,1953,1416,1644,3060,234.85714285714286,2
142500,6,1984,1003,1003,2006,167.16666666666666,2
152000,5,1950,910,1558,2468,259.6666666666667,1
239000,7,1997,975,1950,2925,278.57142857142856,2
175000,6,1968,702,1743,2445,249.0,2
158500,6,1950,1092,1152,2244,192.0,1
157000,5,1953,1165,1336,2501,267.2,1
267000,8,1998,1028,2452,3480,272.44444444444446,2
205000,7,2001,1541,1541,3082,256.8333333333333,3
149900,5,1972,894,894,1788,178.8,2
295000,7,1880,1470,3493,4963,349.3,3
305900,8,2004,2000,2000,4000,250.0,3
225000,7,1990,700,2243,2943,280.375,3
89500,6,1920,319,1406,1725,234.33333333333334,0
82500,4,1940,861,861,1722,215.25,2
360000,9,2003,1896,1944,3840,243.0,3
165600,6,1993,697,1501,2198,250.16666666666666,2
132000,6,1948,972,972,1944,194.4,1
119900,5,1939,793,1118,1911,223.6,2
375000,7,1965,2136,2036,4172,254.5,2
178000,7,1925,728,1641,2369,273.5,2
188500,7,2004,716,1432,2148,238.66666666666666,2
260000,7,1980,845,2353,3198,235.3,2
270000,8,2006,1088,1959,3047,244.875,3
260000,7,1993,1347,2646,3993,294.0,3
187500,7,1980,1372,1472,2844,245.33333333333334,2
342643,9,2006,1249,2596,3845,288.44444444444446,3
354000,8,2004,1136,2468,3604,246.8,3
301000,7,1986,1502,2730,4232,341.25,2
126175,3,1955,1162,1163,2325,193.83333333333334,1
242000,7,1967,710,2978,3688,270.72727272727275,2
87000,5,1941,720,803,1523,160.6,2
324000,8,1993,1719,1719,3438,286.5,2
145250,6,1960,1383,1383,2766,197.57142857142858,1
214500,6,1916,844,2134,2978,213.4,2
78000,5,1920,596,1192,1788,198.66666666666666,1
119000,5,1964,1728,1728,3456,172.8,1
139000,5,1958,1056,1056,2112,176.0,1
284000,8,2003,3206,1629,4835,232.71428571428572,3
207000,7,2004,1358,1358,2716,226.33333333333334,2
192000,6,1998,943,1638,2581,234.0,2
228950,5,1965,1499,1786,3285,255.14285714285714,2
377426,9,2005,1922,1922,3844,240.25,3
214000,7,2002,1536,1536,3072,219.42857142857142,2
202500,7,1984,1208,1621,2829,202.625,2
155000,6,1958,1215,1215,2430,202.5,1
202900,8,2002,967,1908,2875,212.0,2
82000,4,1950,721,841,1562,210.25,1
87500,3,1949,0,1040,1040,173.33333333333334,2
266000,9,2005,1684,1684,3368,280.6666666666667,2
85000,5,1976,536,1112,1648,278.0,1
140200,6,1939,972,1577,2549,262.8333333333333,1
151500,6,1960,958,958,1916,191.6,1
157500,6,1960,1478,1478,2956,246.33333333333334,2
154000,7,2003,764,1626,2390,271.0,2
437154,9,2005,1848,2728,4576,272.8,3
318061,9,2007,1869,1869,3738,311.5,2
190000,7,1986,1453,1453,2906,242.16666666666666,2
95000,5,1941,616,1111,1727,222.2,1
105900,6,1928,624,720,1344,144.0,2
140000,6,1940,940,1595,2535,265.8333333333333,1
177500,6,1995,1200,1200,2400,200.0,2
173000,6,1992,1158,1167,2325,194.5,2
134000,5,1976,1142,1142,2284,190.33333333333334,2
130000,5,1958,1062,1352,2414,225.33333333333334,1
280000,8,1998,1086,1924,3010,274.85714285714283,2
156000,6,1978,888,912,1800,182.4,2
145000,5,1940,883,1505,2388,188.125,1
198500,7,2003,0,1922,1922,274.57142857142856,2
118000,6,1972,483,987,1470,197.4,1
190000,6,1976,796,1574,2370,262.3333333333333,2
147000,5,1920,672,1344,2016,224.0,1
159000,6,1963,1394,1394,2788,232.33333333333334,2
165000,6,1962,1099,1431,2530,238.5,1
132000,5,1954,1268,1268,2536,181.14285714285714,1
162000,5,1959,1063,1287,2350,183.85714285714286,2
172400,6,2000,953,1664,2617,237.71428571428572,2
134432,4,1959,0,1588,1588,226.85714285714286,2
125000,6,1984,744,752,1496,188.0,1
123000,5,1953,608,1319,1927,263.8,1
219500,7,2003,847,1928,2775,241.0,2
61000,1,1922,683,904,1587,226.0,0
148000,5,1996,870,914,1784,182.8,2
340000,8,2004,1580,2466,4046,308.25,2
394432,9,2010,1856,1856,3712,232.0,3
179000,6,2000,982,1800,2782,257.14285714285717,2
127000,5,1924,1026,1691,2717,281.8333333333333,1
187750,7,2006,1293,1301,2594,260.2,2
213500,7,2006,939,1797,2736,224.625,2
76000,6,1928,784,784,1568,156.8,2
240000,6,1992,1580,1953,3533,217.0,2
192000,8,2004,1256,1269,2525,211.5,2
81000,5,1910,658,1184,1842,148.0,0
125000,6,1976,1041,1125,2166,187.5,1
191000,7,1999,1468,1479,2947,246.5,2
426000,10,2007,1682,2332,4014,259.1111111111111,3
119000,5,1900,861,1367,2228,195.28571428571428,1
215000,6,2001,804,1961,2765,280.14285714285717,2
106500,5,1959,0,882,882,176.4,1
100000,4,1941,788,788,1576,197.0,0
109000,5,1940,735,1034,1769,206.8,1
129000,5,1956,1144,1144,2288,190.66666666666666,1
123000,5,1972,894,894,1788,149.0,2
169500,5,1962,864,1812,2676,226.5,1
67000,5,1920,961,1077,2038,179.5,1
241000,7,2006,1092,1550,2642,221.42857142857142,2
245500,8,1996,1260,1288,2548,322.0,2
164990,7,2005,1310,1310,2620,218.33333333333334,2
108000,5,1940,672,672,1344,168.0,1
258000,8,1998,1141,2263,3404,226.3,2
168000,6,1995,806,1572,2378,224.57142857142858,2
150000,4,1976,1281,1620,2901,202.5,2
115000,6,1936,1064,1639,2703,273.1666666666667,1
177000,6,1915,840,1680,2520,210.0,1
280000,7,2006,1063,2172,3235,241.33333333333334,3
339750,8,2007,1034,2078,3112,259.75,3
60000,5,1958,1276,1276,2552,255.2,1
145000,5,1955,1056,1056,2112,211.2,2
222000,7,2009,1470,1478,2948,211.14285714285714,2
115000,5,1927,1008,1028,2036,205.6,2
228000,7,1993,1080,2097,3177,233.0,3
181134,7,2007,1340,1340,2680,223.33333333333334,2
149500,6,1978,672,1400,2072,233.33333333333334,2
239000,6,1918,1370,2624,3994,262.4,3
126000,5,1940,756,1134,1890,162.0,1
142000,5,1968,1056,1056,2112,176.0,1
206300,7,1997,1344,1344,2688,168.0,4
215000,6,1977,1602,1602,3204,200.25,2
113000,5,1954,988,988,1976,247.0,2
315000,8,1998,1470,2630,4100,328.75,3
139000,6,1956,1196,1196,2392,199.33333333333334,1
135000,7,1946,651,1389,2040,231.5,1
275000,7,1989,1518,1644,3162,328.8,2
109008,4,1957,907,907,1814,181.4,1
195400,7,2007,1208,1208,2416,201.33333333333334,2
175000,6,1988,1392,1412,2804,235.33333333333334,2
85400,6,1971,483,987,1470,246.75,1
79900,6,1920,901,1198,2099,171.14285714285714,0
122500,5,1971,765,1365,2130,227.5,2
181000,6,1997,926,1604,2530,229.14285714285714,2
81000,4,1972,630,630,1260,210.0,0
212000,7,1996,799,1661,2460,276.8333333333333,2
116000,6,1920,648,1118,1766,186.33333333333334,2
119000,6,1926,884,904,1788,226.0,1
90350,5,1913,440,694,1134,173.5,1
110000,6,1920,684,1196,1880,170.85714285714286,2
555000,10,2008,3094,2402,5496,240.2,3
118000,4,1955,1440,1440,2880,180.0,0
162900,5,1930,1078,1573,2651,196.625,2
172500,7,2006,1258,1258,2516,209.66666666666666,3
210000,7,1994,915,1908,2823,238.5,2
127500,6,1956,1436,1689,3125,241.28571428571428,2
190000,6,1966,1517,1888,3405,314.6666666666667,2
199900,7,1998,930,1886,2816,188.6,2
119500,6,1937,780,1376,2156,196.57142857142858,1
120000,3,1948,649,1183,1832,197.16666666666666,1
110000,6,1930,813,813,1626,162.6,1
280000,7,1975,1533,1533,3066,306.6,2
204000,6,1996,872,1756,2628,250.85714285714286,2
210000,8,2008,768,1590,2358,265.0,2
188000,5,1976,1728,1728,3456,216.0,2
175500,7,1973,1242,1242,2484,207.0,2
98000,5,1916,624,1344,1968,192.0,3
256000,4,1954,1364,1663,3027,277.1666666666667,2
161000,8,1925,588,1666,2254,238.0,1
110000,5,1950,709,1203,1912,240.6,1
263435,8,2009,832,1935,2767,241.875,2
155000,7,1936,560,1135,1695,189.16666666666666,2
62383,5,1965,864,864,1728,172.8,1
188700,6,1934,715,1660,2375,276.6666666666667,1
124000,5,1978,1040,1040,2080,208.0,0
178740,7,2004,1375,1414,2789,235.66666666666666,2
167000,7,1970,1277,1277,2554,255.4,2
146500,5,1942,728,1644,2372,234.85714285714286,1
250000,8,2006,1626,1634,3260,233.42857142857142,3
187000,6,1993,832,1710,2542,244.28571428571428,2
212000,8,1985,1488,1502,2990,375.5,2
190000,7,1977,808,1969,2777,246.125,2
148000,6,2005,547,1072,1619,214.4,2
440000,8,2006,1976,1976,3952,282.2857142857143,3
251000,8,2000,1494,1652,3146,275.3333333333333,2
132500,5,1963,970,970,1940,194.0,2
208900,6,1997,1478,1493,2971,213.28571428571428,2
380000,9,2006,2153,2643,4796,293.6666666666667,3
297000,8,2007,1705,1718,3423,245.42857142857142,3
89471,4,1937,907,1131,2038,161.57142857142858,2
326000,9,2004,1833,1850,3683,231.25,3
374000,9,2003,1792,1792,3584,298.6666666666667,3
155000,7,1915,910,1826,2736,260.85714285714283,1
164000,6,1998,1216,1216,2432,243.2,2
132500,5,1962,999,999,1998,166.5,1
147000,5,1950,1113,1113,2226,222.6,1
